Position,Track Name,Artist,Streams,URL,es_hit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1,Miénteme,TINI,3044905,0cOa970mzTWAxKtltpkpLc,1,0.85,0.541,2,-4.522,1,0.0674,0.161,5.01e-06,0.286,0.916,92.003,audio_features,0cOa970mzTWAxKtltpkpLc,spotify:track:0cOa970mzTWAxKtltpkpLc,https://api.spotify.com/v1/tracks/0cOa970mzTWAxKtltpkpLc,https://api.spotify.com/v1/audio-analysis/0cOa970mzTWAxKtltpkpLc,165275,4
1,Bandido,Myke Towers,2801826,1xK1Gg9SxG8fy2Ya373oqb,1,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021,audio_features,1xK1Gg9SxG8fy2Ya373oqb,spotify:track:1xK1Gg9SxG8fy2Ya373oqb,https://api.spotify.com/v1/tracks/1xK1Gg9SxG8fy2Ya373oqb,https://api.spotify.com/v1/audio-analysis/1xK1Gg9SxG8fy2Ya373oqb,232853,4
1,Ella No Es Tuya - Remix,Rochy RD,2535086,5YYW3yRktprLRr47WK219Y,1,0.585,0.611,6,-4.132,1,0.288,0.39,0.0,0.649,0.962,97.041,audio_features,5YYW3yRktprLRr47WK219Y,spotify:track:5YYW3yRktprLRr47WK219Y,https://api.spotify.com/v1/tracks/5YYW3yRktprLRr47WK219Y,https://api.spotify.com/v1/audio-analysis/5YYW3yRktprLRr47WK219Y,218107,4
1,Además de Mí - Remix,Rusherking,3514296,7I8L3vYCLThw2FDrE6LuzE,1,0.397,0.613,6,-5.077,1,0.0549,0.0396,0.0,0.192,0.405,78.4,audio_features,7I8L3vYCLThw2FDrE6LuzE,spotify:track:7I8L3vYCLThw2FDrE6LuzE,https://api.spotify.com/v1/tracks/7I8L3vYCLThw2FDrE6LuzE,https://api.spotify.com/v1/audio-analysis/7I8L3vYCLThw2FDrE6LuzE,330040,4
1,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,3610015,1Crj1zkRMpsEjb9NOR6Zof,1,0.553,0.819,2,-3.083,1,0.257,0.368,1.36e-05,0.0915,0.761,87.913,audio_features,1Crj1zkRMpsEjb9NOR6Zof,spotify:track:1Crj1zkRMpsEjb9NOR6Zof,https://api.spotify.com/v1/tracks/1Crj1zkRMpsEjb9NOR6Zof,https://api.spotify.com/v1/audio-analysis/1Crj1zkRMpsEjb9NOR6Zof,192348,4
1,Despacito - Remix,Luis Fonsi,1627894,5CtI0qwDJkDQGwXD1H1cLb,1,0.694,0.815,2,-4.328,1,0.12,0.229,0.0,0.0924,0.813,88.931,audio_features,5CtI0qwDJkDQGwXD1H1cLb,spotify:track:5CtI0qwDJkDQGwXD1H1cLb,https://api.spotify.com/v1/tracks/5CtI0qwDJkDQGwXD1H1cLb,https://api.spotify.com/v1/audio-analysis/5CtI0qwDJkDQGwXD1H1cLb,228827,4
1,Fiel,Los Legendarios,2172660,7Bk0uXKk1uPT0XuQbpFzvs,1,0.849,0.701,6,-4.407,0,0.06,0.407,0.0,0.112,0.505,98.005,audio_features,7Bk0uXKk1uPT0XuQbpFzvs,spotify:track:7Bk0uXKk1uPT0XuQbpFzvs,https://api.spotify.com/v1/tracks/7Bk0uXKk1uPT0XuQbpFzvs,https://api.spotify.com/v1/audio-analysis/7Bk0uXKk1uPT0XuQbpFzvs,261667,4
1,Safaera,Bad Bunny,1511172,2DEZmgHKAvm41k4J3R2E9Y,1,0.607,0.829,2,-4.074,1,0.379,0.0103,0.0,0.107,0.685,96.172,audio_features,2DEZmgHKAvm41k4J3R2E9Y,spotify:track:2DEZmgHKAvm41k4J3R2E9Y,https://api.spotify.com/v1/tracks/2DEZmgHKAvm41k4J3R2E9Y,https://api.spotify.com/v1/audio-analysis/2DEZmgHKAvm41k4J3R2E9Y,295177,4
1,Sin Pijama,Becky G,1467736,2ijef6ni2amuunRoKTlgww,1,0.791,0.745,11,-3.695,0,0.0464,0.354,2.93e-05,0.104,0.82,94.014,audio_features,2ijef6ni2amuunRoKTlgww,spotify:track:2ijef6ni2amuunRoKTlgww,https://api.spotify.com/v1/tracks/2ijef6ni2amuunRoKTlgww,https://api.spotify.com/v1/audio-analysis/2ijef6ni2amuunRoKTlgww,188560,4
1,Con Calma,Daddy Yankee,2441251,5w9c2J52mkdntKOmRLeM2m,1,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,audio_features,5w9c2J52mkdntKOmRLeM2m,spotify:track:5w9c2J52mkdntKOmRLeM2m,https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m,https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m,193227,4
1,Te Boté - Remix,Nio Garcia,1422103,3V8UKqhEK5zBkBb6d6ub8i,1,0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,audio_features,3V8UKqhEK5zBkBb6d6ub8i,spotify:track:3V8UKqhEK5zBkBb6d6ub8i,https://api.spotify.com/v1/tracks/3V8UKqhEK5zBkBb6d6ub8i,https://api.spotify.com/v1/audio-analysis/3V8UKqhEK5zBkBb6d6ub8i,417920,4
1,Pa Mí - Remix,Dalex,2221730,224EVTFiLsdQignUFLvDeH,1,0.688,0.62,11,-8.029,0,0.22,0.753,5.27e-06,0.158,0.727,170.018,audio_features,224EVTFiLsdQignUFLvDeH,spotify:track:224EVTFiLsdQignUFLvDeH,https://api.spotify.com/v1/tracks/224EVTFiLsdQignUFLvDeH,https://api.spotify.com/v1/audio-analysis/224EVTFiLsdQignUFLvDeH,360960,4
1,Tal Vez,Paulo Londra,2008173,46lvmzK8wxAy66tjzXXSh0,1,0.849,0.655,8,-2.899,1,0.106,0.266,0.0,0.0781,0.76,161.966,audio_features,46lvmzK8wxAy66tjzXXSh0,spotify:track:46lvmzK8wxAy66tjzXXSh0,https://api.spotify.com/v1/tracks/46lvmzK8wxAy66tjzXXSh0,https://api.spotify.com/v1/audio-analysis/46lvmzK8wxAy66tjzXXSh0,264483,4
1,La Cobra,j mena,2450081,7tAFzqPUa2G7EziujIPP7K,1,0.843,0.729,11,-4.138,0,0.342,0.0576,0.0,0.0267,0.472,172.017,audio_features,7tAFzqPUa2G7EziujIPP7K,spotify:track:7tAFzqPUa2G7EziujIPP7K,https://api.spotify.com/v1/tracks/7tAFzqPUa2G7EziujIPP7K,https://api.spotify.com/v1/audio-analysis/7tAFzqPUa2G7EziujIPP7K,188227,4
